event_id,start_time,asset_name,timestamps (in ms),Vab,Vbc,Vca,Ia,Ib,Ic,asset_name,datetime
,,,0.023573847,5147.96582,4835.024902,-9891.407227,-59.00351715,283.9146423,-270.5703125,Site0006,10/18/2005 23:07:40.5540
,,,0.023704089,4737.620605,5244.142578,-9878.99707,-72.52515411,291.2572632,-262.0002136,Site0006,10/18/2005 23:07:40.5540
,,,0.023834331,4289.97168,5640.862305,-9878.99707,-89.73451233,298.599884,-255.8787079,Site0006,10/18/2005 23:07:40.5540
,,,0.023964573,3792.583496,5987.992676,-9804.532227,-103.2561569,304.71875,-248.5328979,Site0006,10/18/2005 23:07:40.5540
,,,0.024094816,3344.934326,6322.725098,-9754.888672,-115.5485535,310.8375854,-242.4114075,Site0006,10/18/2005 23:07:40.5540
,,,0.024225058,2835.111572,6595.470215,-9643.191406,-127.8409576,315.732666,-233.8413086,Site0006,10/18/2005 23:07:40.5540
,,,0.0243553,2325.288818,6917.805176,-9506.672852,-138.9041138,319.4039612,-224.0469055,Site0006,10/18/2005 23:07:40.5540
,,,0.024485542,1803.031494,7264.935059,-9382.564453,-149.9672699,325.5228271,-214.2525024,Site0006,10/18/2005 23:07:40.5540
,,,0.024615785,1330.512939,7562.475098,-9221.224609,-158.5719452,332.865448,-204.4580994,Site0006,10/18/2005 23:07:40.5540
,,,0.024746027,808.2554932,7810.424805,-9035.0625,-167.1766357,335.3129883,-193.4394073,Site0006,10/18/2005 23:07:40.5540
,,,0.024876269,335.736908,8083.169922,-8799.256836,-174.5520782,337.7605286,-182.4207001,Site0006,10/18/2005 23:07:40.5540
,,,0.025006511,-174.0858002,8331.120117,-8551.041016,-183.1567535,340.2080688,-168.9533997,Site0006,10/18/2005 23:07:40.5540
,,,0.025136753,-646.6043701,8566.672852,-8327.646484,-189.302948,338.9842834,-154.2618103,Site0006,10/18/2005 23:07:40.5540
,,,0.025266996,-1168.861816,8827.020508,-8067.02002,-196.6783905,340.2080688,-138.3459015,Site0006,10/18/2005 23:07:40.5540
,,,0.025397238,-1641.380371,9037.777344,-7769.160645,-202.824585,338.9842834,-122.4300003,Site0006,10/18/2005 23:07:40.5540
,,,0.02552748,-2076.594971,9198.945313,-7458.890625,-210.2000275,336.5367432,-106.5140991,Site0006,10/18/2005 23:07:40.5540
